
                                              Design Report       15-May-2019 15:55:27

Client...................: Suncor Energy
Field....................: Firebag(NAD83)
Well.....................: SUNCOR P123P8 FIREBAG 8-31-94-5   
Wellbore.................: 102/8-31(P123P8) Lic #0490457     
Design/Survey............: 102/8-31(P123P8) - Final Survey   
U.W.I....................: 102083109405W400
Bottom Hole Location.....: .


----- Survey calculation methods-------------                ----- Geomagnetic data ----------------------
Method for positions.....: Minimum Curvature                 Magnetic model...........: BGGM2018
                                                             Magnetic field strength..:   58448.80 HCNT
                                                             Magnetic dec (+E/W-).....:      14.37 degrees
                                                             Magnetic dip.............:      78.35 degrees

----- Depth reference -----------------------                ----- Corrections --------------------------
Depth reference..........: Actual RKB                                Magnetic dec (+E/W-).....:     14.374 degrees
Ground Level.......:     584.50 m                            Grid convergence (+E/W-).:       0.18  degrees
KB.......:    593.70 m                                       Total az corr (+E/W-)....:      14.37  degrees

----- Site Location---------------                        
Site Latitude:57° 11' 6.251 N
Site Longitude :110° 47' 31.263 W
Site Northing :6338006.50m
Site Easting :512571.70m

----- Well Location---------------    
Well Latitude :57° 11' 5.279 N
Well Longitude :110° 47' 30.077 W
Well Northing :6337976.50m
Well Easting :512591.70m

----- Cartographic System-------------
North American Datum 1983 Universal Transverse Mercator, Zone 12N (114 W to 108 W)
North Reference :True


----------------------------------------------------------------
MD,Inc,Azim.,SSTVD,TVD,N/S,E/W,Y,X,DLS,V.S.,Comment
(m),(Deg),(Deg),(m),(m),(m),(m),(m),(m),(dega/30m),(m)

811.750,90.420,358.920,-302.825,290.875,511.742,237.126,6338488.965,512827.261,0.905,541.557, 
825.750,90.070,358.790,-302.885,290.815,525.739,236.846,6338502.961,512826.939,0.800,555.353, 
840.250,90.660,359.040,-302.977,290.723,540.236,236.572,6338517.457,512826.620,1.326,569.645, 
854.250,90.910,0.180,-303.169,290.531,554.235,236.476,6338531.455,512826.482,2.501,583.470, 
868.020,90.450,0.640,-303.333,290.367,568.003,236.575,6338545.223,512826.538,1.417,597.097, 
882.020,90.410,0.670,-303.438,290.262,582.002,236.735,6338559.222,512826.655,0.107,610.961, 
895.930,89.670,0.290,-303.447,290.253,595.911,236.851,6338573.132,512826.729,1.794,624.730, 
909.930,88.760,0.180,-303.256,290.444,609.910,236.909,6338587.131,512826.744,1.964,638.578, 
923.770,88.960,0.120,-302.980,290.720,623.747,236.945,6338600.968,512826.738,0.453,652.264, 
937.770,89.400,359.810,-302.780,290.920,637.745,236.936,6338614.966,512826.687,1.153,666.102, 
951.840,89.610,0.120,-302.658,291.042,651.815,236.928,6338629.036,512826.635,0.798,680.010, 
965.840,90.240,0.240,-302.640,291.060,665.815,236.972,6338643.036,512826.636,1.374,693.858, 
979.830,90.680,0.450,-302.752,290.948,679.804,237.056,6338657.025,512826.678,1.045,707.701, 
993.830,89.730,0.360,-302.802,290.898,693.803,237.155,6338671.025,512826.734,2.045,721.557, 
1007.620,89.710,0.500,-302.735,290.965,707.593,237.259,6338684.814,512826.795,0.308,735.205, 
1021.620,90.210,0.770,-302.725,290.975,721.592,237.414,6338698.814,512826.908,1.218,749.069, 
1035.990,90.330,0.530,-302.793,290.907,735.961,237.577,6338713.183,512827.027,0.560,763.299, 
1049.990,89.500,0.380,-302.772,290.928,749.960,237.688,6338727.183,512827.095,1.807,777.156, 
1064.040,89.760,0.570,-302.681,291.019,764.009,237.804,6338741.232,512827.169,0.688,791.063, 
1078.040,90.000,0.260,-302.652,291.048,778.009,237.906,6338755.232,512827.227,0.840,804.919, 
1092.220,90.190,0.670,-302.676,291.024,792.188,238.021,6338769.412,512827.299,0.956,818.955, 
1106.220,90.180,0.650,-302.721,290.979,806.187,238.182,6338783.411,512827.418,0.048,832.820, 
1120.030,89.450,0.000,-302.676,291.024,819.997,238.260,6338797.221,512827.454,2.123,846.484, 
1134.030,89.530,359.860,-302.552,291.148,833.996,238.243,6338811.220,512827.394,0.346,860.322, 
1147.840,89.750,0.010,-302.465,291.235,847.806,238.228,6338825.030,512827.336,0.578,873.973, 
1161.840,89.920,359.970,-302.425,291.275,861.806,238.225,6338839.030,512827.291,0.374,887.814, 
1175.880,90.270,0.100,-302.448,291.252,875.846,238.234,6338853.070,512827.256,0.798,901.695, 
1189.880,90.910,0.170,-302.592,291.108,889.845,238.267,6338867.069,512827.247,1.380,915.541, 
1203.670,92.120,0.640,-302.957,290.743,903.630,238.364,6338880.854,512827.302,2.824,929.183, 
1217.670,90.400,359.770,-303.264,290.436,917.626,238.414,6338894.850,512827.309,4.130,943.028, 
1231.600,90.240,0.340,-303.342,290.358,931.555,238.428,6338908.779,512827.280,1.275,956.802, 
1245.600,89.430,0.020,-303.302,290.398,945.555,238.472,6338922.779,512827.281,1.866,970.649, 
1259.690,88.810,0.240,-303.085,290.615,959.643,238.504,6338936.867,512827.270,1.401,984.582, 
1273.690,89.120,0.060,-302.833,290.867,973.641,238.540,6338950.865,512827.264,0.768,998.427, 
1287.880,89.840,359.520,-302.704,290.996,987.830,238.488,6338965.054,512827.169,1.903,1012.447, 
1301.880,90.050,359.150,-302.690,291.010,1001.829,238.326,6338979.053,512826.963,0.912,1026.263, 
1315.870,89.690,359.200,-302.659,291.041,1015.818,238.124,6338993.040,512826.719,0.779,1040.062, 
1329.870,89.810,359.870,-302.598,291.102,1029.817,238.011,6339007.039,512826.563,1.459,1053.886, 
1343.690,89.360,0.840,-302.497,291.203,1043.636,238.096,6339020.859,512826.606,2.321,1067.561, 
1357.690,89.670,0.360,-302.379,291.321,1057.635,238.243,6339034.858,512826.710,1.224,1081.423, 
1372.150,90.020,0.560,-302.340,291.360,1072.094,238.359,6339049.317,512826.782,0.836,1095.735, 
1386.150,90.720,0.400,-302.430,291.270,1086.093,238.476,6339063.317,512826.856,1.539,1109.593, 
1399.980,90.620,359.940,-302.592,291.108,1099.922,238.517,6339077.146,512826.855,1.021,1123.271, 
1413.980,89.460,359.880,-302.602,291.098,1113.922,238.495,6339091.146,512826.790,2.489,1137.109, 
1427.470,89.860,359.950,-302.522,291.178,1127.412,238.475,6339104.635,512826.729,0.903,1150.443, 
1441.470,90.200,0.010,-302.529,291.171,1141.412,238.470,6339118.635,512826.682,0.740,1164.283, 
1455.040,90.510,0.520,-302.613,291.087,1154.981,238.533,6339132.205,512826.703,1.319,1177.708, 
1469.040,90.580,0.250,-302.746,290.954,1168.980,238.627,6339146.204,512826.754,0.598,1191.562, 
1482.940,90.710,0.230,-302.903,290.797,1182.879,238.685,6339160.103,512826.770,0.284,1205.312, 
1496.940,90.310,0.110,-303.027,290.673,1196.879,238.727,6339174.102,512826.769,0.895,1219.159, 
1510.560,89.140,359.830,-302.962,290.738,1210.498,238.720,6339187.722,512826.720,2.650,1232.623, 
1524.560,89.340,359.820,-302.776,290.924,1224.497,238.677,6339201.720,512826.634,0.429,1246.456, 
1538.020,89.670,0.410,-302.660,291.040,1237.956,238.704,6339215.180,512826.620,1.507,1259.767, 
1552.020,89.510,359.940,-302.560,291.140,1251.956,238.747,6339229.179,512826.620,1.064,1273.614, 
1565.870,89.780,0.380,-302.474,291.226,1265.805,238.786,6339243.029,512826.617,1.118,1287.312, 
1579.870,89.790,359.930,-302.421,291.279,1279.805,238.823,6339257.029,512826.612,0.965,1301.159, 
1593.900,90.040,359.910,-302.401,291.299,1293.835,238.804,6339271.059,512826.549,0.536,1315.027, 
1607.900,90.330,0.230,-302.446,291.254,1307.835,238.821,6339285.059,512826.524,0.925,1328.870, 
1622.080,90.810,0.320,-302.587,291.113,1322.014,238.889,6339299.238,512826.548,1.033,1342.899, 
1636.080,90.730,0.380,-302.775,290.925,1336.013,238.975,6339313.237,512826.591,0.214,1356.751, 
1650.000,89.890,0.260,-302.850,290.850,1349.932,239.052,6339327.156,512826.626,1.829,1370.524, 
1664.000,90.090,0.020,-302.848,290.852,1363.932,239.086,6339341.156,512826.618,0.669,1384.371, 
1678.110,90.300,359.950,-302.896,290.804,1378.042,239.083,6339355.266,512826.571,0.471,1398.320, 
1692.110,90.440,0.240,-302.986,290.714,1392.042,239.106,6339369.266,512826.551,0.690,1412.164, 
1705.960,90.450,0.340,-303.094,290.606,1405.891,239.176,6339383.115,512826.579,0.218,1425.867, 
1719.960,89.920,0.240,-303.139,290.561,1419.891,239.247,6339397.115,512826.607,1.156,1439.718, 
1734.560,89.050,0.750,-303.008,290.692,1434.489,239.373,6339411.714,512826.689,2.072,1454.170, 
1748.560,89.180,0.670,-302.792,290.908,1448.487,239.547,6339425.712,512826.819,0.327,1468.035, 
1762.720,89.600,0.780,-302.641,291.059,1462.645,239.726,6339439.870,512826.955,0.920,1482.059, 
1776.720,90.240,0.570,-302.621,291.079,1476.644,239.891,6339453.870,512827.077,1.443,1495.924, 
1791.380,90.510,0.640,-302.717,290.983,1491.302,240.045,6339468.529,512827.187,0.571,1510.440, 
1805.380,90.350,0.320,-302.822,290.878,1505.302,240.163,6339482.528,512827.262,0.767,1524.298, 
1819.430,90.460,0.400,-302.922,290.778,1519.351,240.251,6339496.578,512827.307,0.290,1538.201, 
1833.430,90.280,0.240,-303.012,290.688,1533.350,240.329,6339510.578,512827.343,0.516,1552.053, 
1847.360,89.350,359.800,-302.967,290.733,1547.280,240.334,6339524.507,512827.305,2.216,1565.826, 
1859.000,89.230,359.460,-302.823,290.877,1558.919,240.259,6339536.146,512827.194,0.929,1577.321, 
1870.000,89.370,359.480,-302.688,291.012,1569.918,240.157,6339547.144,512827.059,0.386,1588.180,Liner Toe
1880.000,89.500,359.500,-302.590,291.110,1579.917,240.068,6339557.143,512826.939,0.395,1598.052,Extrap to TD
