 SCIENTIFIC DRILLING INTERNATIONAL
 COMPANY 		: Suncor Energy Inc.
 FIELD   		: Firebag
 SITE    		: 2-10-95-6 W4M (PAD 105)
 WELL   		: Suncor P105N18 Firebag 3-3-95-6
 WELLPATH		: 105/03-03-095-06W4/00
 LICENSE		: 0484034
 DESIGN			: Final Surveys (P105N18)
 MAP SYSTEM		: Universal Transverse Mercator
 GEODIC DATUM		: North American Datum 1983
 MAP ZONE		: Zone 12N (114 W to 108 W)
 CALCULATION METHOD	: Minimum Curvature

 GRID COORDINATES					    ,   ,   , GEOGRAPHIC COORDINATES	 
 EASTING 		: 507061.35 m    ,   ,   , 			LATITUDE		: 57° 13' 17.825 N
 NORTHING 		: 6342061.91 m    ,   ,   , 		LONGITUDE		: 110° 52' 59.029 W
 VSECT DIREC 		: 192.23 deg 
 NORTH REF		: True
 GRID CONVERGENCE	: 0.10 deg 
 KB ELEV  		: 604.51 m 
 GL ELEV 		: 598.91 m 
 SURVEY DATE		: 9/22/2017

 MAGNETIC MODEL		: USER DEFINED
 REFERENCE DATE		: 10/13/2017
 FIELD STRENGTH		: 57898.00 nT 
 DIP ANGLE		: 78.42 deg 
 DECLINATION		: 12.28 deg 

 , , , , , Local Coordinates, ,UTM Coordinates
Measured Depth,Incl.,Azim.,Sub-Sea Depth,Vertical Depth,+N/S-,+E/W-,Northings,Eastings,Vertical Section,Dogleg Rate
     m    ,  ,    m    ,      m    ,       m    ,     m    ,     m     ,           m     ,       m     ,      m     ,    °/30m   ,
   637.83,   90.130,  178.330,    -272.32,     332.19,    -310.44, -283.01, 6341750.984N,  506778.870E,    363.33,      1.57,    ,
   647.10,   89.800,  178.170,    -272.31,     332.20,    -319.71, -282.73, 6341741.719N,  506779.169E,    372.33,      1.19,    ,
   657.00,   89.500,  179.030,    -272.25,     332.26,    -329.60, -282.49, 6341731.823N,  506779.428E,    381.95,      2.76,    ,
   670.80,   89.500,  179.000,    -272.13,     332.38,    -343.40, -282.25, 6341718.026N,  506779.689E,    395.38,      0.07,   P105N18 ICP,
   670.82,   89.500,  179.000,    -272.13,     332.38,    -343.42, -282.25, 6341718.006N,  506779.689E,    395.40,      0.07,    ,
   672.00,   89.420,  179.020,    -272.12,     332.39,    -344.60, -282.23, 6341716.826N,  506779.712E,    396.55,      2.10,   ICP = 672.00m,
   682.29,   88.760,  179.020,    -271.96,     332.55,    -354.89, -282.05, 6341706.539N,  506779.905E,    406.57,      1.92,    ,
   696.12,   89.800,  178.030,    -271.78,     332.73,    -368.71, -281.70, 6341692.716N,  506780.285E,    420.00,      3.11,    ,
   709.93,   89.360,  179.160,    -271.68,     332.83,    -382.52, -281.36, 6341678.912N,  506780.647E,    433.42,      2.63,    ,
   723.74,   90.170,  180.190,    -271.63,     332.88,    -396.33, -281.28, 6341665.102N,  506780.749E,    446.90,      2.85,    ,
   737.52,   91.140,  182.180,    -271.78,     332.73,    -410.10, -281.57, 6341651.327N,  506780.488E,    460.43,      4.82,    ,
   751.22,   90.200,  182.480,    -271.94,     332.57,    -423.79, -282.12, 6341637.638N,  506779.955E,    473.92,      2.16,    ,
   765.04,   89.460,  183.290,    -271.90,     332.61,    -437.59, -282.82, 6341623.835N,  506779.283E,    487.56,      2.38,    ,
   778.81,   88.290,  182.660,    -271.63,     332.88,    -451.34, -283.53, 6341610.085N,  506778.592E,    501.15,      2.89,    ,
   792.59,   88.590,  181.220,    -271.26,     333.25,    -465.11, -284.00, 6341596.318N,  506778.149E,    514.70,      3.20,    ,
   806.39,   89.430,  179.810,    -271.02,     333.49,    -478.90, -284.12, 6341582.520N,  506778.049E,    528.21,      3.57,    ,
   820.03,   91.710,  178.410,    -271.15,     333.36,    -492.54, -283.91, 6341568.884N,  506778.284E,    541.49,      5.88,    ,
   833.84,   90.470,  178.980,    -271.42,     333.09,    -506.34, -283.60, 6341555.081N,  506778.622E,    554.92,      2.96,    ,
   847.65,   90.130,  179.100,    -271.49,     333.02,    -520.15, -283.37, 6341541.274N,  506778.877E,    568.36,      0.78,    ,
   861.48,   91.410,  178.840,    -271.68,     332.83,    -533.98, -283.12, 6341527.448N,  506779.149E,    581.82,      2.83,    ,
   875.28,   89.730,  179.460,    -271.81,     332.70,    -547.77, -282.91, 6341513.651N,  506779.378E,    595.26,      3.89,    ,
   889.10,   89.770,  179.400,    -271.75,     332.76,    -561.59, -282.78, 6341499.832N,  506779.539E,    608.74,      0.16,    ,
   902.90,   90.130,  179.490,    -271.74,     332.77,    -575.39, -282.64, 6341486.033N,  506779.696E,    622.20,      0.81,    ,
   916.72,   90.900,  180.470,    -271.86,     332.65,    -589.21, -282.64, 6341472.214N,  506779.725E,    635.70,      2.71,    ,
   930.49,   90.840,  181.140,    -272.07,     332.44,    -602.98, -282.83, 6341458.447N,  506779.555E,    649.20,      1.47,    ,
   944.23,   91.040,  181.880,    -272.30,     332.21,    -616.71, -283.19, 6341444.713N,  506779.217E,    662.70,      1.67,    ,
   958.00,   90.200,  180.420,    -272.45,     332.06,    -630.48, -283.47, 6341430.947N,  506778.964E,    676.21,      3.67,    ,
   971.78,   89.160,  180.470,    -272.37,     332.14,    -644.26, -283.58, 6341417.167N,  506778.881E,    689.70,      2.27,    ,
   985.54,   90.030,  180.370,    -272.27,     332.24,    -658.02, -283.68, 6341403.408N,  506778.803E,    703.17,      1.91,    ,
   999.31,   89.930,  180.210,    -272.27,     332.24,    -671.79, -283.75, 6341389.638N,  506778.757E,    716.64,      0.41,    ,
  1008.54,   90.270,  180.640,    -272.28,     332.23,    -681.02, -283.81, 6341380.408N,  506778.705E,    725.67,      1.78,    ,
  1017.78,   90.070,  180.050,    -272.31,     332.20,    -690.26, -283.87, 6341371.168N,  506778.665E,    734.72,      2.02,    ,
  1027.41,   90.100,  180.500,    -272.33,     332.18,    -699.89, -283.92, 6341361.538N,  506778.635E,    744.14,      1.40,    ,
  1036.77,   91.070,  179.550,    -272.42,     332.09,    -709.24, -283.92, 6341352.179N,  506778.647E,    753.28,      4.35,    ,
  1045.95,   89.800,  180.080,    -272.49,     332.02,    -718.42, -283.89, 6341343.000N,  506778.693E,    762.25,      4.50,    ,
  1055.19,   89.130,  180.050,    -272.41,     332.10,    -727.66, -283.90, 6341333.760N,  506778.698E,    771.28,      2.18,    ,
  1064.57,   88.830,  179.860,    -272.24,     332.27,    -737.04, -283.89, 6341324.382N,  506778.721E,    780.45,      1.14,    ,
  1073.59,   88.830,  179.330,    -272.05,     332.46,    -746.06, -283.83, 6341315.364N,  506778.801E,    789.25,      1.76,    ,
  1082.76,   89.330,  179.300,    -271.91,     332.60,    -755.23, -283.72, 6341306.196N,  506778.926E,    798.18,      1.64,    ,
  1091.93,   89.970,  179.110,    -271.85,     332.66,    -764.40, -283.59, 6341297.027N,  506779.069E,    807.12,      2.18,    ,
  1101.19,   89.970,  179.070,    -271.85,     332.66,    -773.66, -283.45, 6341287.769N,  506779.232E,    816.13,      0.13,    ,
  1110.56,   90.870,  180.680,    -271.91,     332.60,    -783.03, -283.43, 6341278.400N,  506779.268E,    825.29,      5.91,    ,
  1120.19,   90.230,  181.210,    -272.01,     332.50,    -792.65, -283.58, 6341268.771N,  506779.126E,    834.73,      2.59,    ,
  1129.38,   90.070,  182.050,    -272.03,     332.48,    -801.84, -283.85, 6341259.585N,  506778.880E,    843.76,      2.79,    ,
  1138.40,   90.230,  181.590,    -272.05,     332.46,    -810.85, -284.13, 6341250.569N,  506778.609E,    852.64,      1.62,    ,
  1147.68,   89.700,  180.960,    -272.05,     332.46,    -820.13, -284.34, 6341241.291N,  506778.419E,    861.75,      2.66,    ,
  1156.85,   90.300,  181.280,    -272.05,     332.46,    -829.30, -284.52, 6341232.122N,  506778.255E,    870.74,      2.22,    ,
  1166.12,   90.440,  181.430,    -272.11,     332.40,    -838.57, -284.74, 6341222.855N,  506778.052E,    879.85,      0.66,    ,
  1175.53,   90.130,  182.510,    -272.16,     332.35,    -847.97, -285.06, 6341213.450N,  506777.745E,    889.11,      3.58,    ,
  1184.62,   89.830,  181.590,    -272.15,     332.36,    -857.06, -285.39, 6341204.365N,  506777.435E,    898.05,      3.19,    ,
  1193.72,   89.360,  182.070,    -272.09,     332.42,    -866.15, -285.68, 6341195.270N,  506777.160E,    907.00,      2.21,    ,
  1202.98,   88.360,  181.060,    -271.90,     332.61,    -875.41, -285.93, 6341186.015N,  506776.923E,    916.10,      4.60,    ,
  1212.20,   88.160,  179.660,    -271.62,     332.89,    -884.62, -285.99, 6341176.800N,  506776.881E,    925.12,      4.60,    ,
  1221.48,   88.190,  179.690,    -271.33,     333.18,    -893.90, -285.93, 6341167.524N,  506776.950E,    934.17,      0.14,    ,
  1230.85,   88.730,  179.570,    -271.08,     333.43,    -903.26, -285.87, 6341158.158N,  506777.026E,    943.32,      1.77,    ,
  1240.30,   89.630,  179.690,    -270.94,     333.57,    -912.71, -285.81, 6341148.710N,  506777.103E,    952.54,      2.88,    ,
  1249.56,   90.370,  179.730,    -270.94,     333.57,    -921.97, -285.77, 6341139.450N,  506777.166E,    961.58,      2.40,    ,
  1258.79,   90.770,  179.210,    -271.03,     333.48,    -931.20, -285.68, 6341130.221N,  506777.267E,    970.58,      2.13,    ,
  1268.32,   90.770,  180.030,    -271.16,     333.35,    -940.73, -285.62, 6341120.692N,  506777.347E,    979.88,      2.58,    ,
  1277.39,   90.900,  179.240,    -271.29,     333.22,    -949.80, -285.56, 6341111.624N,  506777.420E,    988.73,      2.65,    ,
  1286.50,   90.900,  179.810,    -271.44,     333.07,    -958.91, -285.48, 6341102.515N,  506777.511E,    997.62,      1.88,    ,
  1295.76,   90.900,  181.100,    -271.58,     332.93,    -968.16, -285.56, 6341093.257N,  506777.454E,   1006.68,      4.18,    ,
  1304.97,   91.540,  181.070,    -271.78,     332.73,    -977.37, -285.73, 6341084.050N,  506777.295E,   1015.71,      2.09,    ,
  1314.15,   91.840,  180.770,    -272.05,     332.46,    -986.55, -285.88, 6341074.875N,  506777.164E,   1024.71,      1.39,    ,
  1323.42,   90.600,  180.080,    -272.25,     332.26,    -995.81, -285.95, 6341065.608N,  506777.111E,   1033.78,      4.59,    ,
  1332.57,   89.830,  179.490,    -272.28,     332.23,   -1004.96, -285.91, 6341056.458N,  506777.161E,   1042.72,      3.18,    ,
  1341.88,   89.500,  179.790,    -272.23,     332.28,   -1014.27, -285.86, 6341047.148N,  506777.235E,   1051.80,      1.44,    ,
  1351.14,   90.030,  179.070,    -272.19,     332.32,   -1023.53, -285.76, 6341037.889N,  506777.343E,   1060.83,      2.90,    ,
  1360.55,   89.560,  178.720,    -272.15,     332.36,   -1032.94, -285.58, 6341028.481N,  506777.541E,   1069.99,      1.87,    ,
  1369.65,   89.400,  178.280,    -272.07,     332.44,   -1042.04, -285.34, 6341019.385N,  506777.795E,   1078.83,      1.54,    ,
  1378.72,   89.230,  178.780,    -271.96,     332.55,   -1051.10, -285.11, 6341010.319N,  506778.043E,   1087.64,      1.75,    ,
  1387.98,   89.400,  177.900,    -271.85,     332.66,   -1060.36, -284.84, 6341001.065N,  506778.327E,   1096.63,      2.90,    ,
  1397.29,   89.360,  176.860,    -271.75,     332.76,   -1069.66, -284.42, 6340991.766N,  506778.769E,   1105.63,      3.35,    ,
  1406.82,   89.800,  177.020,    -271.68,     332.83,   -1079.17, -283.91, 6340982.250N,  506779.294E,   1114.82,      1.47,    ,
  1416.01,   89.360,  177.080,    -271.62,     332.89,   -1088.35, -283.44, 6340973.074N,  506779.782E,   1123.69,      1.45,    ,
  1425.22,   89.770,  177.300,    -271.55,     332.96,   -1097.55, -282.98, 6340963.876N,  506780.250E,   1132.58,      1.52,    ,
